Epoch 01 | Loss 2.8002 | Val Acc 0.3239
Epoch 02 | Loss 2.2712 | Val Acc 0.3797
Epoch 03 | Loss 2.1174 | Val Acc 0.4103
Epoch 04 | Loss 2.0310 | Val Acc 0.4289
Epoch 05 | Loss 1.9784 | Val Acc 0.4356
Epoch 06 | Loss 1.9430 | Val Acc 0.4425
Epoch 07 | Loss 1.9178 | Val Acc 0.4453
Epoch 08 | Loss 1.8992 | Val Acc 0.4496
Epoch 09 | Loss 1.8846 | Val Acc 0.4525
Epoch 10 | Loss 1.8731 | Val Acc 0.4528
Epoch 11 | Loss 1.8633 | Val Acc 0.4565
Epoch 12 | Loss 1.8551 | Val Acc 0.4583
Epoch 13 | Loss 1.8475 | Val Acc 0.4605
Epoch 14 | Loss 1.8414 | Val Acc 0.4608
Epoch 15 | Loss 1.8357 | Val Acc 0.4627
Epoch 16 | Loss 1.8307 | Val Acc 0.4615
Epoch 17 | Loss 1.8263 | Val Acc 0.4631
Epoch 18 | Loss 1.8218 | Val Acc 0.4650
Epoch 19 | Loss 1.8184 | Val Acc 0.4649
Epoch 20 | Loss 1.8148 | Val Acc 0.4662
Epoch 21 | Loss 1.8120 | Val Acc 0.4660
Epoch 22 | Loss 1.8089 | Val Acc 0.4674
Epoch 23 | Loss 1.8064 | Val Acc 0.4682
Epoch 24 | Loss 1.8040 | Val Acc 0.4682
Epoch 25 | Loss 1.8019 | Val Acc 0.4679
Epoch 26 | Loss 1.7999 | Val Acc 0.4683
Epoch 27 | Loss 1.7975 | Val Acc 0.4677
Epoch 28 | Loss 1.7963 | Val Acc 0.4691
Epoch 29 | Loss 1.7945 | Val Acc 0.4712
Epoch 30 | Loss 1.7928 | Val Acc 0.4711
Epoch 31 | Loss 1.7914 | Val Acc 0.4702
Epoch 32 | Loss 1.7901 | Val Acc 0.4707
Epoch 33 | Loss 1.7888 | Val Acc 0.4713
Epoch 34 | Loss 1.7876 | Val Acc 0.4702
Epoch 35 | Loss 1.7863 | Val Acc 0.4723
Epoch 36 | Loss 1.7851 | Val Acc 0.4729
Epoch 37 | Loss 1.7839 | Val Acc 0.4727
Epoch 38 | Loss 1.7833 | Val Acc 0.4730
Epoch 39 | Loss 1.7818 | Val Acc 0.4722
Epoch 40 | Loss 1.7812 | Val Acc 0.4721
Epoch 41 | Loss 1.7804 | Val Acc 0.4738
Epoch 42 | Loss 1.7795 | Val Acc 0.4727
Epoch 43 | Loss 1.7785 | Val Acc 0.4724
Epoch 44 | Loss 1.7775 | Val Acc 0.4736
Epoch 45 | Loss 1.7770 | Val Acc 0.4730
Epoch 46 | Loss 1.7763 | Val Acc 0.4740
Epoch 47 | Loss 1.7759 | Val Acc 0.4752
Epoch 48 | Loss 1.7753 | Val Acc 0.4748
Epoch 49 | Loss 1.7743 | Val Acc 0.4743
Epoch 50 | Loss 1.7735 | Val Acc 0.4738
Epoch 51 | Loss 1.7734 | Val Acc 0.4744
Epoch 52 | Loss 1.7728 | Val Acc 0.4743
Epoch 53 | Loss 1.7723 | Val Acc 0.4739
Epoch 54 | Loss 1.7716 | Val Acc 0.4750
Epoch 55 | Loss 1.7710 | Val Acc 0.4732
Epoch 56 | Loss 1.7706 | Val Acc 0.4736
Epoch 57 | Loss 1.7698 | Val Acc 0.4751
Epoch 58 | Loss 1.7696 | Val Acc 0.4756
Epoch 59 | Loss 1.7690 | Val Acc 0.4749
Epoch 60 | Loss 1.7689 | Val Acc 0.4761
Epoch 61 | Loss 1.7681 | Val Acc 0.4756
Epoch 62 | Loss 1.7681 | Val Acc 0.4754
